Part Name	Quantity	Estimated Cost	Already Owned	Requested Money
LiFePO4 Battery	1	20$	Yes	0$
12AWG Wire	1 ft	9$	Yes	0$
12V to 5V buck	1	5$	Yes	0$
A4988 Stepper Driver	1	7$	Yes	0$
Nema 17 Stepper Motor	1	7$	Yes	0$
Alligator Cables	1 ft	3$	Yes	0$
Breadboard Jumpers	variable	5$	Yes	0$
Breadboards	2	10$	Yes	0$
Flex Resistors	4	1$	Yes	0$
10k Ohm Resistors	4	1$	Yes	0$
Push Buttons	2	2$	Yes	0$
KY-023 Joystick Module	1	3$	Yes	0$
KY-040 Rotary Encoder	1	3$	Yes	0$
Arduino (or equivalent)	1	20$	Yes	0$
PCA9685 PWM Driver	1	10$	Yes	0$
PQ12 Linear Actuators	4	256$	Yes	0$
PLA Filament	~500 g	5$	Yes	0$
